iter	Passed	Remaining
1285	12423	45541
1286	12432	45526
1287	12442	45518
1288	12454	45519
1289	12465	45512
1290	12477	45513
1291	12486	45501
1292	12498	45500
1293	12509	45493
1294	12521	45493
1295	12531	45484
1296	12542	45480
1297	12553	45473
1298	12564	45469
1299	12574	45462
1300	12585	45458
1301	12594	45445
1302	12605	45440
1303	12614	45426
1304	12625	45423
1305	12635	45413
1306	12647	45412
1307	12655	45397
1308	12665	45387
1309	12675	45379
1310	12685	45371
1311	12695	45363
1312	12707	45362
1313	12717	45353
1314	12729	45352
1315	12739	45344
1316	12751	45340
1317	12761	45332
1318	12771	45325
1319	12781	45314
1320	12792	45311
1321	12803	45304
1322	12813	45298
1323	12823	45290
1324	12834	45283
1325	12843	45271
1326	12853	45263
1327	12862	45252
1328	12893	45316
1329	12903	45309
1330	12914	45301
1331	12923	45290
1332	12935	45288
1333	12944	45277
1334	12956	45273
1335	12963	45257
1336	12975	45253
1337	12984	45243
1338	12996	45238
1339	13005	45227
1340	13015	45218
1341	13024	45206
1342	13035	45201
1343	13045	45193
1344	13054	45181
1345	13063	45169
1346	13074	45163
1347	13084	45154
1348	13094	45147
1349	13104	45137
1350	13115	45132
1351	13124	45121
1352	13135	45113
1353	13144	45101
1354	13155	45097
1355	13163	45083
1356	13174	45076
1357	13183	45064
1358	13194	45058
1359	13202	45042
1360	13212	45036
1361	13222	45025
1362	13232	45018
1363	13242	45008
1364	13252	44998
1365	13261	44987
1366	13273	44985
1367	13284	44981
1368	13297	44982
1369	13306	44969
1370	13316	44960
1371	13325	44949
1372	13334	44937
1373	13342	44921
1374	13352	44914
1375	13362	44903
1376	13372	44896
1377	13382	44885
1378	13391	44875
1379	13400	44862
1380	13411	44858
1381	13420	44845
1382	13431	44839
1383	13439	44825
1384	13450	44820
1385	13460	44810
1386	13472	44806
1387	13481	44796
1388	13491	44788
1389	13501	44777
1390	13509	44764
1391	13519	44753
1392	13530	44748
1393	13538	44733
1394	13549	44728
1395	13559	44720
1396	13570	44712
1397	13579	44701
1398	13590	44696
1399	13599	44685
1400	13611	44680
1401	13618	44664
1402	13629	44659
1403	13638	44645
1404	13649	44639
1405	13657	44625
1406	13668	44619
1407	13677	44606
1408	13688	44601
1409	13697	44590
1410	13707	44581
1411	13717	44570
1412	13726	44560
1413	13735	44549
1414	13746	44543
1415	13756	44534
1416	13766	44524
1417	13774	44509
1418	13785	44504
1419	13795	44494
1420	13803	44480
1421	13811	44464
1422	13820	44453
1423	13830	44445
1424	13840	44435
1425	13849	44424
1426	13861	44419
1427	13870	44408
1428	13880	44400
1429	13888	44383
1430	13898	44375
1431	13906	44360
1432	13916	44353
1433	13924	44338
1434	13935	44330
1435	13943	44315
1436	13954	44310
1437	13962	44295
1438	13973	44289
1439	13982	44277
1440	13993	44271
1441	14002	44260
1442	14013	44254
1443	14021	44239
1444	14031	44229
1445	14039	44214
1446	14049	44205
1447	14059	44197
1448	14069	44187
1449	14077	44174
1450	14086	44163
1451	14094	44147
1452	14105	44140
1453	14115	44131
1454	14124	44121
1455	14132	44106
1456	14144	44102
1457	14152	44088
1458	14163	44083
1459	14173	44073
1460	14183	44063
1461	14192	44053
1462	14202	44044
1463	14211	44033
1464	14221	44024
1465	14229	44009
1466	14239	43999
1467	14248	43989
1468	14259	43980
1469	14266	43965
1470	14276	43954
1471	14284	43941
1472	14294	43932
1473	14303	43919
1474	14314	43913
1475	14323	43902
1476	14334	43896
1477	14344	43887
1478	14354	43877
1479	14363	43867
1480	14372	43855
1481	14382	43845
1482	14389	43829
1483	14398	43817
1484	14408	43807
1485	14417	43796
1486	14429	43792
1487	14437	43777
1488	14446	43767
1489	14455	43755
1490	14466	43748
1491	14474	43734
1492	14484	43725
1493	14493	43714
1494	14504	43706
1495	14513	43696
1496	14523	43686
1497	14533	43678
1498	14543	43669
1499	14551	43655
1500	14562	43649
1501	14570	43634
1502	14582	43629
1503	14591	43619
1504	14602	43613
1505	14611	43602
1506	14623	43598
1507	14631	43584
1508	14641	43574
1509	14650	43562
1510	14659	43552
1511	14668	43538
1512	14679	43532
